,function,pronoun,verb,adj,posemo,negemo,anger,anx,sad,social,informal,swear,focuspast,focuspresent,focusfuture,death
0,7.82,2.2,26.16,6.6,8.31,8.31,1.71,0.98,2.93,7.58,1.71,0.0,6.6,13.94,1.71,0.24
1,4.48,0.87,30.97,9.83,7.21,5.35,0.25,1.0,1.37,7.84,5.72,0.25,5.22,19.15,3.73,0.0
2,11.72,2.12,30.23,10.45,11.86,8.62,3.11,1.13,1.98,7.49,7.06,1.98,7.63,17.09,3.25,1.13
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12.75,3.29,23.78,7.33,5.62,6.65,2.33,1.44,0.75,12.75,4.25,0.27,7.75,13.16,1.58,0.0
6,0.0,0.0,26.67,13.33,33.33,6.67,0.0,0.0,6.67,13.33,6.67,0.0,6.67,13.33,0.0,6.67
7,6.69,2.51,40.59,5.02,10.88,9.62,1.67,3.35,1.67,19.67,2.09,0.0,10.88,21.76,5.44,2.93
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.36,1.48,27.59,6.4,10.84,4.93,0.99,0.49,2.46,9.85,4.43,0.49,1.97,19.21,2.46,0.99
10,2.8,0.7,25.17,6.99,10.49,4.9,0.0,1.4,0.0,14.69,14.69,0.0,1.4,16.08,7.69,0.0
11,12.64,2.52,25.88,7.61,6.05,4.79,1.2,1.02,1.32,15.94,3.06,0.54,5.75,15.28,1.98,0.24
12,15.69,1.76,29.18,5.13,8.21,4.84,1.61,1.61,0.73,12.46,6.01,0.59,7.77,13.78,3.52,0.44
13,15.09,5.36,26.09,6.63,8.89,9.59,4.09,0.85,1.83,5.92,2.4,0.99,6.49,14.67,1.41,0.42
14,13.47,2.99,24.76,11.7,11.84,3.81,0.68,0.82,0.54,11.97,6.8,0.27,4.49,14.29,2.99,0.14
15,13.39,1.42,33.9,7.98,6.84,6.55,1.99,1.14,1.71,7.12,4.27,1.71,4.27,22.79,2.28,1.99
16,12.81,1.88,40.3,9.23,7.34,10.92,0.56,4.14,3.58,9.6,0.75,0.38,3.2,29.57,2.07,1.13
17,3.52,0.7,22.54,8.45,8.45,3.52,2.82,0.7,0.0,6.34,7.04,1.41,2.11,17.61,1.41,1.41
18,7.62,0.91,25.91,10.67,12.5,10.06,1.83,6.71,2.13,7.01,5.49,0.91,4.88,22.56,6.1,0.91
19,4.53,1.68,26.85,6.21,16.95,5.37,1.17,0.17,2.18,19.13,3.52,0.17,3.36,19.13,3.36,0.67
20,20.0,13.33,20.0,10.0,6.67,16.67,3.33,0.0,3.33,23.33,0.0,0.0,0.0,10.0,6.67,3.33
21,11.94,1.74,33.55,7.82,7.82,10.1,3.04,1.74,2.71,11.18,5.32,1.63,2.71,24.97,4.13,0.87
22,13.03,5.77,27.56,7.05,6.41,7.48,2.14,0.85,2.35,17.31,3.21,1.71,4.06,18.38,1.28,0.0
23,7.98,3.4,25.41,6.06,6.2,7.09,3.1,0.15,2.22,16.99,3.69,0.3,4.58,14.92,2.81,4.14
24,5.85,1.17,22.22,6.43,12.87,7.6,1.75,0.0,1.75,11.7,2.92,1.17,5.85,16.96,2.34,1.75
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,7.96,1.77,21.24,2.65,19.47,2.65,0.88,0.0,1.77,26.55,7.96,0.0,5.31,12.39,5.31,0.0
27,9.12,1.4,25.26,7.37,7.37,8.77,1.05,4.91,0.35,17.54,1.75,0.0,5.96,15.09,3.51,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,14.61,3.2,30.14,8.22,8.22,20.09,7.31,2.28,6.85,10.5,6.39,4.57,6.39,20.55,1.37,1.37
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,6.46,3.54,20.21,6.46,4.38,10.62,2.29,3.96,0.83,11.67,1.88,0.83,1.67,16.04,1.04,2.08
32,20.83,1.8,33.07,5.76,6.12,4.02,1.2,0.9,0.54,12.91,6.9,0.12,5.4,18.31,2.88,0.06
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,13.74,2.81,24.27,10.23,7.12,10.53,5.42,1.81,1.3,12.14,5.52,3.41,3.11,18.36,1.0,0.1
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,12.11,5.08,25.18,13.56,17.19,4.84,2.42,0.97,0.0,5.81,4.84,0.0,3.87,14.53,1.45,0.97
38,8.93,2.38,35.12,9.52,9.52,8.33,0.0,0.6,4.17,4.17,4.17,0.0,6.55,18.45,8.33,1.79
39,7.96,4.42,22.12,10.62,11.5,6.19,0.88,0.0,4.42,13.27,5.31,0.0,3.54,12.39,3.54,0.0
40,6.25,6.25,25.0,14.06,4.69,17.19,6.25,0.0,4.69,18.75,1.56,1.56,1.56,21.88,1.56,6.25
41,9.04,2.0,28.96,7.13,7.83,6.26,0.09,0.17,3.39,13.39,2.96,0.09,11.13,14.43,2.61,0.78
42,9.06,0.97,27.18,7.44,9.06,5.83,0.65,0.32,3.88,7.44,4.21,0.32,2.27,19.74,2.91,0.32
43,12.05,2.95,29.18,9.92,12.95,3.52,0.41,0.66,1.48,7.7,2.95,0.08,3.44,14.92,3.61,0.08
44,12.27,1.43,40.78,5.15,4.2,4.12,1.5,0.87,0.32,20.74,4.12,0.87,10.13,23.44,2.93,0.48
45,12.95,2.73,27.48,5.76,6.04,9.64,0.43,2.45,4.75,13.38,1.29,0.43,8.78,14.68,2.59,0.43
46,10.62,0.0,23.89,9.73,14.16,7.08,0.88,4.42,3.54,5.31,14.16,0.88,5.31,13.27,9.73,0.0
47,6.55,1.04,33.47,7.11,8.15,4.31,0.48,1.28,1.76,9.66,5.03,0.32,12.22,11.58,4.39,2.08
48,15.22,1.33,30.33,7.33,9.22,3.44,0.78,0.33,0.78,13.89,3.22,0.11,9.67,11.78,3.33,0.44
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,11.65,0.0,34.95,8.74,6.8,15.53,10.68,0.97,1.94,14.56,5.83,0.0,6.8,20.39,6.8,1.94
53,9.71,3.93,27.48,7.44,9.09,4.96,1.24,0.41,2.07,17.56,2.89,1.03,4.96,16.74,3.31,2.69
54,4.52,0.5,31.44,6.35,5.69,5.69,2.17,0.5,1.17,6.86,5.85,0.67,6.86,15.72,5.52,0.33
55,13.88,1.36,33.47,8.98,8.16,7.21,2.86,0.54,1.09,14.42,6.12,2.59,3.13,25.44,3.67,0.82
56,4.35,0.0,30.43,21.74,10.87,17.39,13.04,0.0,0.0,8.7,19.57,10.87,6.52,15.22,2.17,2.17
57,17.0,4.74,23.32,12.65,4.74,4.35,1.98,0.4,1.58,12.25,7.51,1.19,3.95,19.37,1.19,1.58
58,8.41,1.46,30.74,11.33,8.25,8.9,1.78,0.65,5.02,13.75,7.44,1.29,5.83,21.04,1.46,0.0
59,6.35,3.49,27.14,3.49,6.98,3.81,0.95,0.95,0.79,11.43,3.97,0.95,4.6,18.25,3.33,0.0
60,0.0,0.0,32.31,4.62,20.0,9.23,0.0,0.0,6.15,21.54,4.62,0.0,6.15,21.54,4.62,0.0
61,14.39,4.55,34.85,6.06,6.06,6.06,1.52,1.52,0.76,9.85,4.55,1.52,7.58,21.21,3.03,1.52
62,8.96,4.48,28.36,4.48,4.48,14.93,5.97,1.49,4.48,8.96,13.43,2.99,8.96,16.42,2.99,2.99
63,6.24,0.62,34.01,8.27,6.86,9.67,0.62,3.59,3.59,6.55,3.43,0.16,7.18,18.41,3.9,0.78
64,0.0,0.0,16.67,8.33,16.67,16.67,8.33,8.33,8.33,0.0,8.33,0.0,0.0,25.0,8.33,0.0
65,11.3,1.26,26.78,9.62,7.11,9.21,1.26,1.26,2.51,16.74,2.93,0.42,1.67,17.57,1.26,2.93
66,10.53,6.58,21.05,23.68,22.37,17.11,2.63,0.0,14.47,14.47,7.89,2.63,3.95,15.79,6.58,5.26
67,7.05,3.08,28.08,9.25,9.03,4.52,0.33,1.65,1.98,10.57,4.3,0.0,7.71,17.29,1.76,0.0
68,7.86,0.87,21.83,8.73,5.24,11.79,7.42,1.31,1.75,11.35,7.86,3.93,1.31,18.78,1.75,4.37
69,10.47,0.79,25.89,10.67,10.47,10.08,1.98,0.79,4.15,5.73,4.55,0.79,2.37,17.39,2.57,0.2
70,5.41,3.24,36.76,8.65,4.32,7.57,3.78,0.0,2.7,4.32,2.7,1.08,7.57,22.16,4.32,7.03
71,4.12,1.19,23.32,12.36,21.72,8.24,2.86,0.63,2.44,20.18,2.65,1.26,7.82,11.17,1.68,0.98
72,8.22,0.0,24.66,2.74,1.37,5.48,0.0,0.0,5.48,23.29,8.22,0.0,4.11,6.85,9.59,0.0
73,16.41,0.51,27.86,5.22,7.51,1.78,0.38,0.25,0.13,15.9,6.87,0.13,6.49,11.2,3.94,0.0
74,8.66,1.81,23.47,9.03,13.72,6.14,1.08,1.44,1.44,14.44,11.19,1.44,4.33,11.91,2.89,1.08
75,19.68,1.94,20.0,9.03,4.52,7.42,0.32,1.61,1.94,13.87,4.84,0.32,2.9,14.19,1.29,0.0
76,8.75,3.8,21.67,4.18,4.94,11.41,5.32,0.38,4.18,14.07,3.8,2.28,6.46,9.13,1.52,6.08
77,2.56,2.05,31.28,11.28,18.97,3.59,0.0,1.54,1.03,15.9,4.1,0.0,8.72,20.51,2.05,0.0
78,6.34,1.38,26.72,11.85,9.92,12.95,0.55,4.41,5.79,7.99,3.58,0.0,3.03,16.25,4.41,0.0
79,10.75,3.58,23.3,7.17,5.38,7.71,0.72,3.76,3.58,5.02,3.23,0.18,2.51,9.68,3.23,0.0
80,13.96,2.38,27.52,8.33,7.06,7.61,0.95,1.9,2.22,9.83,3.41,0.16,11.02,10.23,3.33,0.4
81,10.05,2.01,33.23,8.19,2.94,13.45,7.57,0.62,3.71,19.47,13.29,8.66,6.49,15.77,5.41,1.55
82,6.36,1.69,34.32,7.63,12.71,6.36,2.97,0.0,2.54,23.31,5.51,1.27,8.05,21.61,2.54,0.85
83,20.69,3.45,42.53,3.45,5.75,8.05,3.45,1.15,2.3,10.34,3.45,1.15,1.15,27.59,3.45,0.0
84,4.01,0.63,25.32,6.54,5.06,6.12,0.21,1.48,1.9,12.87,2.11,0.21,10.55,10.34,2.53,1.48
85,13.56,3.39,32.2,15.25,11.86,11.86,0.0,3.39,3.39,6.78,8.47,0.0,1.69,16.95,8.47,1.69
86,9.41,2.35,28.24,12.94,11.18,3.53,1.18,0.59,1.18,5.88,0.59,0.0,2.94,20.0,1.76,0.0
87,7.41,3.7,29.63,14.81,7.41,7.41,0.0,0.0,7.41,18.52,3.7,0.0,3.7,22.22,7.41,0.0
88,12.39,2.9,33.26,6.14,7.03,7.03,3.68,0.22,2.23,17.3,8.71,3.12,5.69,16.85,3.91,0.33
89,11.69,1.37,23.93,12.33,8.58,8.31,1.92,0.27,1.83,14.52,2.47,0.37,10.68,10.59,1.1,0.0
